,date,open,high,low,close,volume,average,barCount
2318,2022-08-31 12:43:10,3979.75,3980.0,3979.5,3980.0,89.0,3979.85,37
2319,2022-08-31 12:43:15,3980.0,3980.25,3979.75,3980.25,77.0,3980.025,16
2320,2022-08-31 12:43:20,3980.25,3981.0,3980.25,3980.75,143.0,3980.5,54
2321,2022-08-31 12:43:25,3980.75,3980.75,3980.5,3980.75,109.0,3980.625,32
2322,2022-08-31 12:43:30,3981.0,3981.25,3980.75,3981.0,237.0,3980.95,56
2323,2022-08-31 12:43:35,3980.75,3981.25,3980.75,3981.25,43.0,3981.1,20
2324,2022-08-31 12:43:40,3981.25,3982.25,3981.25,3981.75,313.0,3981.8,88
2325,2022-08-31 12:43:45,3981.75,3981.75,3981.5,3981.5,17.0,3981.6,16
2326,2022-08-31 12:43:50,3981.5,3982.0,3981.5,3982.0,104.0,3981.75,33
2327,2022-08-31 12:43:55,3982.0,3982.0,3981.75,3981.75,72.0,3981.825,26
2328,2022-08-31 12:44:00,3981.75,3983.25,3981.5,3983.25,322.0,3982.675,113
2329,2022-08-31 12:44:05,3983.0,3983.25,3982.75,3983.25,122.0,3982.975,39
2330,2022-08-31 12:44:10,3983.0,3983.0,3982.0,3982.0,137.0,3982.4,54
2331,2022-08-31 12:44:15,3982.0,3982.5,3982.0,3982.25,82.0,3982.225,30
2332,2022-08-31 12:44:20,3982.25,3982.5,3982.0,3982.25,66.0,3982.15,19
2333,2022-08-31 12:44:25,3982.25,3982.5,3982.25,3982.25,43.0,3982.35,16
2334,2022-08-31 12:44:30,3982.25,3982.25,3981.75,3981.75,55.0,3982.025,17
2335,2022-08-31 12:44:35,3981.75,3982.0,3981.5,3981.75,180.0,3981.8,52
2336,2022-08-31 12:44:40,3981.5,3981.75,3981.5,3981.75,33.0,3981.7,17
2337,2022-08-31 12:44:45,3981.75,3981.75,3981.25,3981.5,109.0,3981.575,26
2338,2022-08-31 12:44:50,3981.5,3981.5,3980.5,3980.75,205.0,3980.975,64
2339,2022-08-31 12:44:55,3980.75,3980.75,3979.75,3980.25,208.0,3980.2,54
2340,2022-08-31 12:45:00,3980.25,3980.25,3979.0,3979.75,308.0,3979.575,107
2341,2022-08-31 12:45:05,3979.75,3980.25,3979.5,3979.5,87.0,3979.85,36
2342,2022-08-31 12:45:10,3979.5,3980.5,3979.5,3980.5,74.0,3980.25,35
2343,2022-08-31 12:45:15,3980.5,3980.75,3980.25,3980.5,107.0,3980.55,38
2344,2022-08-31 12:45:20,3980.25,3980.5,3979.75,3980.0,73.0,3980.125,20
2345,2022-08-31 12:45:25,3980.25,3981.0,3980.25,3980.75,62.0,3980.625,28
2346,2022-08-31 12:45:30,3980.5,3981.0,3980.5,3981.0,35.0,3980.6,17
2347,2022-08-31 12:45:35,3981.0,3981.0,3980.5,3980.75,76.0,3980.7,23
2348,2022-08-31 12:45:40,3980.75,3981.75,3980.75,3981.25,118.0,3981.175,43
2349,2022-08-31 12:45:45,3981.25,3981.25,3980.25,3980.25,90.0,3980.5,26
2350,2022-08-31 12:45:50,3980.0,3980.0,3979.75,3980.0,117.0,3979.875,42
2351,2022-08-31 12:45:55,3980.25,3980.5,3980.0,3980.25,82.0,3980.175,30
2352,2022-08-31 12:46:00,3980.25,3980.5,3980.25,3980.25,35.0,3980.375,14
2353,2022-08-31 12:46:05,3980.5,3980.5,3979.5,3979.75,75.0,3980.125,24
2354,2022-08-31 12:46:10,3979.5,3979.75,3979.25,3979.75,146.0,3979.575,40
2355,2022-08-31 12:46:15,3980.0,3980.25,3979.75,3979.75,71.0,3979.925,26
2356,2022-08-31 12:46:20,3980.0,3980.25,3980.0,3980.0,74.0,3980.075,27
2357,2022-08-31 12:46:25,3980.25,3980.5,3980.25,3980.5,39.0,3980.325,13
2358,2022-08-31 12:46:30,3980.5,3980.75,3980.0,3980.0,36.0,3980.425,20
2359,2022-08-31 12:46:35,3980.25,3980.75,3980.0,3980.75,84.0,3980.475,27
2360,2022-08-31 12:46:40,3980.5,3980.75,3979.5,3979.5,91.0,3979.925,30
2361,2022-08-31 12:46:45,3979.5,3980.0,3979.0,3979.75,111.0,3979.325,42
2362,2022-08-31 12:46:50,3980.0,3980.25,3979.75,3980.0,41.0,3980.0,16
2363,2022-08-31 12:46:55,3980.0,3980.5,3980.0,3980.25,28.0,3980.15,14
2364,2022-08-31 12:47:00,3980.25,3980.5,3980.25,3980.5,19.0,3980.4,13
2365,2022-08-31 12:47:05,3980.75,3981.25,3980.75,3981.0,94.0,3981.0,29
2366,2022-08-31 12:47:10,3981.5,3981.75,3981.25,3981.5,131.0,3981.55,44
2367,2022-08-31 12:47:15,3981.5,3981.5,3981.25,3981.25,106.0,3981.35,35
2368,2022-08-31 12:47:20,3981.25,3981.75,3981.25,3981.75,23.0,3981.425,13
2369,2022-08-31 12:47:25,3981.75,3982.0,3981.5,3981.75,121.0,3981.75,47
2370,2022-08-31 12:47:30,3981.75,3981.75,3981.0,3981.5,82.0,3981.575,28
2371,2022-08-31 12:47:35,3981.5,3981.75,3981.25,3981.75,78.0,3981.375,23
2372,2022-08-31 12:47:40,3981.5,3982.0,3981.5,3981.75,25.0,3981.725,14
2373,2022-08-31 12:47:45,3981.75,3981.75,3981.5,3981.5,37.0,3981.7,13
2374,2022-08-31 12:47:50,3981.5,3981.75,3981.0,3981.25,55.0,3981.375,25
2375,2022-08-31 12:47:55,3981.5,3981.75,3981.25,3981.5,136.0,3981.5,41
2376,2022-08-31 12:48:00,3981.5,3982.0,3981.5,3982.0,80.0,3981.9,24
2377,2022-08-31 12:48:05,3982.0,3982.25,3981.75,3982.0,90.0,3981.95,28
2378,2022-08-31 12:48:10,3981.75,3982.25,3981.5,3982.25,96.0,3981.825,38
2379,2022-08-31 12:48:15,3982.25,3982.25,3981.75,3982.0,68.0,3982.1,32
